Symbol,Date,Expiry,Option type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int,Change in OI,Underlying Value  
ITC,1-Jul-2024,25-Jul-2024,CE,470,0.85,1,0.7,429.05,0.95,0.95,1357,10222.09,17.45,1288000,142400,429.05
ITC,2-Jul-2024,25-Jul-2024,CE,470,0.95,1,0.6,425.5,0.65,0.7,1061,7991.02,12.3,1284800,-3200,425.5
ITC,3-Jul-2024,25-Jul-2024,CE,470,0.7,0.75,0.6,428.3,0.65,0.65,909,6844.98,9.3,1390400,105600,428.3
ITC,4-Jul-2024,25-Jul-2024,CE,470,0.6,0.75,0.6,429.05,0.6,0.6,427,3215.5,4.46,1339200,-51200,429.05
ITC,5-Jul-2024,25-Jul-2024,CE,470,0.6,0.7,0.5,433.65,0.6,0.6,854,6430.18,8.1,1366400,27200,433.65
ITC,8-Jul-2024,25-Jul-2024,CE,470,0.65,2.1,0.65,443.6,2,1.8,3202,24143.14,64.1,1880000,513600,443.6
ITC,9-Jul-2024,25-Jul-2024,CE,470,2.1,3.95,1.75,452.6,2.85,3.1,9544,72232.72,461.84,2508800,628800,452.6
ITC,10-Jul-2024,25-Jul-2024,CE,470,3.1,3.45,1.8,451.45,2.05,2.25,5442,41127.1,203.26,3076800,568000,451.45
ITC,11-Jul-2024,25-Jul-2024,CE,470,2,3.9,1.85,458.65,3.7,3.6,9291,70330.73,462.41,4481600,1404800,458.65
ITC,12-Jul-2024,25-Jul-2024,CE,470,3.8,4.85,2.9,459.05,3.4,3.45,10338,78356.4,614.64,4619200,137600,459.05
ITC,15-Jul-2024,25-Jul-2024,CE,470,3.4,5.7,3.05,463.4,4.1,4.5,11740,89143.38,858.58,5467200,848000,463.4
ITC,16-Jul-2024,25-Jul-2024,CE,470,4.15,5.35,3.9,465.55,5.1,5.1,11253,85477.74,855.18,5331200,-136000,465.55
ITC,18-Jul-2024,25-Jul-2024,CE,470,4.25,6.65,4.25,470.25,6.2,6.3,16662,126833.16,1534.92,7980800,2649600,470.25
